Op.,WoO,Hess,Biamonti,title,key,scoring,genre,name,year,minor,key_note,Unv.,major-minor,type,essential
,WoO 131,Hess 148,Biamonti 526," Erlkönig(""Wer reitet so spat durch Nacht und Wind?"")",D minor, v pf (?),Vocal,"WoO 131, Biamonti 526",1796.0,1.0,D,,minor,Song,other
,WoO 132,,Biamonti 428," Als die Geliebte sich trennen wollte(""Der Hoffnung letzter Schimmer sinkt dahin"") ('Empfindungen bei Lydiens Untreue')",E flat major, v pf,Vocal,"WoO 132, Biamonti 428",1806.0,0.0,E flat,,major,Song,other
,WoO 133,,Biamonti 442, In questa tomba oscura  arietta,A flat major, v pf,Vocal,"WoO 133, Biamonti 442",1807.0,0.0,A flat,,major,Song,other
,WoO 134 No. 1,,Biamonti 446/1, Sehnsucht,G minor, v pf,Vocal,"WoO 134 No. 1, Biamonti 446/1",1808.0,1.0,G,,minor,Song,other
,WoO 134 No. 2,,Biamonti 446/2, Sehnsucht,G minor, v pf,Vocal,"WoO 134 No. 2, Biamonti 446/2",1808.0,1.0,G,,minor,Song,other
,WoO 134 No. 3,,Biamonti 446/3, Sehnsucht,E flat major, v pf,Vocal,"WoO 134 No. 3, Biamonti 446/3",1808.0,0.0,E flat,,major,Song,other
,WoO 134 No. 4,,Biamonti 446/4, Sehnsucht,G minor, v pf,Vocal,"WoO 134 No. 4, Biamonti 446/4",1808.0,1.0,G,,minor,Song,other
,WoO 135,,Biamonti 503," Die laute Klage (""Turteltaube  du klagtest so laut"")",C minor, v pf,Vocal,"WoO 135, Biamonti 503",1815.0,1.0,C,,minor,Song,other
,WoO 136,,Biamonti 496," Andenken (""Ich denke dein"")",D major, v pf,Vocal,"WoO 136, Biamonti 496",1808.0,0.0,D,,major,Song,other
,WoO 137,,Biamonti 498," Lied aus der Ferne (""Als mir noch die Träne"")",B flat major, v pf,Vocal,"WoO 137, Biamonti 498",1809.0,0.0,B flat,,major,Song,other
,WoO 138,,Biamonti 497," Der Jüngling in der Fremde (""Der Früling entblühet dem Schoß der Natur"")",B flat major, v pf,Vocal,"WoO 138, Biamonti 497",1809.0,0.0,B flat,,major,Song,other
,WoO 139,,Biamonti 500," Der Liebende (""Welch ein wunderbares Leben"")",D major, v pf,Vocal,"WoO 139, Biamonti 500",1809.0,0.0,D,,major,Song,other
,WoO 140 No. 1,,Biamonti 540/1," An die Geliebte (""O daß ich dir vom stillen Auge"")",D major, v pf,Vocal,"WoO 140 No. 1, Biamonti 540/1",1811.0,0.0,D,,major,Song,other
,WoO 140 No. 2,,Biamonti 540/2," An die Geliebte (""O daß ich dir vom stillen Auge"")",D major, v pf,Vocal,"WoO 140 No. 2, Biamonti 540/2",1814.0,0.0,D,,major,Song,other
,WoO 141,,Biamonti 555," Der Gesang der Nachtigall (""Höre  die Nachtigall singt"""")",C major, v pf,Vocal,"WoO 141, Biamonti 555",1813.0,0.0,C,,major,Song,other
,WoO 142,,Biamonti 558," Der Bardengeist (""Dort auf dem hohen Felsen sang"")",E minor, v pf,Vocal,"WoO 142, Biamonti 558",1813.0,1.0,E,,minor,Song,other
,WoO 143,,Biamonti 589," Des Kriegers Abschied (""Ich zieh' ins Feld von Lieb'entbrannt"")",E flat major, v pf,Vocal,"WoO 143, Biamonti 589",1814.0,0.0,E flat,,major,Song,other
,WoO 144,,Biamonti 587, Merkenstein,E flat major, v pf,Vocal,"WoO 144, Biamonti 587",1814.0,0.0,E flat,,major,Song,other
,WoO 145,,Biamonti 642," Das Geheimnis (""Wo blüht das Blümchen  das nie verblüht?"")",G major, v pf,Vocal,"WoO 145, Biamonti 642",1815.0,0.0,G,,major,Song,other
,WoO 146,,Biamonti 648," Sehnsucht (""Die stille Nacht umdunkelt"")",E major, v pf,Vocal,"WoO 146, Biamonti 648",1816.0,0.0,E,,major,Song,other
,WoO 147,,Biamonti 658," Ruf vom Berge (""Wenn ich ein Vöglein wär"")",A major, v pf,Vocal,"WoO 147, Biamonti 658",1816.0,0.0,A,,major,Song,other
,WoO 148,,Biamonti 670," So oder So (""Nord oder Süd!"")",F major, v pf,Vocal,"WoO 148, Biamonti 670",1817.0,0.0,F,,major,Song,other
,WoO 149,,Biamonti 679," Resignation (""Lisch aus  mein Licht!"")",D major, v pf,Vocal,"WoO 149, Biamonti 679",1817.0,0.0,D,,major,Song,other
,WoO 150,,Biamonti 722," Abendlied unter'm gestirnten Himmel (""Wenn die Sonne nieder sinket"")",E major, v pf,Vocal,"WoO 150, Biamonti 722",1820.0,0.0,E,,major,Song,other
,WoO 151,Hess 132,Biamonti 768, Der edle Mensch sei hilfreich und gut,G major, v pf,Vocal,"WoO 151, Biamonti 768",1823.0,0.0,G,,major,Song,other
,WoO 152,,Biamonti 561, Irish Songs(25),unknown, vv vn vc pf,Vocal,"WoO 152, Biamonti 561",1812.0,,unknown,,unknown key,Song,other
,WoO 153,,Biamonti 563, Irish Songs (20),unknown, vv vn vc pf,Vocal,"WoO 153, Biamonti 563",1813.0,,unknown,,unknown key,Song,other
,WoO 154,,Biamonti 565, Irish Songs (12),unknown, vv vn vc pf,Vocal,"WoO 154, Biamonti 565",1813.0,,unknown,,unknown key,Song,other
,WoO 155,,Biamonti 533, Welsh Songs (26),unknown, vv vn vc pf,Vocal,"WoO 155, Biamonti 533",1815.0,,unknown,,unknown key,Song,other
,WoO 156,,Biamonti 691, Scottish Songs (12),unknown, vv vn vc pf,Vocal,"WoO 156, Biamonti 691",1819.0,,unknown,,unknown key,Song,other
,WoO 157,,Biamonti 612, Songs of Various Nationalities (12),unknown, vv (ch) vn vc pf,Vocal,"WoO 157, Biamonti 612",1820.0,,unknown,,unknown key,Song,other
